service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"1","0","0","0","0","0","0","1","20160515","20160612"
"10","0","0","0","0","0","0","1","20160516","20160516"
"11","0","0","0","0","0","0","1","20160515","20160612"
"12","0","0","0","0","0","0","1","20160515","20160515"
"13","0","0","0","1","0","0","0","20160512","20160609"
"14","0","0","0","1","0","0","0","20160512","20160609"
"15","0","0","0","1","0","0","0","20160512","20160609"
"16","0","0","0","1","0","0","0","20160512","20160609"
"17","1","0","0","0","0","0","0","20160509","20160606"
"18","1","0","0","0","0","0","0","20160509","20160606"
"19","1","0","0","0","0","0","0","20160509","20160606"
"2","0","0","0","1","0","0","0","20160512","20160609"
"20","1","0","0","0","0","0","0","20160509","20160606"
"21","0","1","0","0","0","0","0","20160510","20160607"
"22","0","1","0","0","0","0","0","20160510","20160607"
"23","0","0","0","1","0","0","0","20160512","20160609"
"24","0","0","0","1","0","0","0","20160512","20160609"
"25","1","0","0","0","0","0","0","20160509","20160606"
"26","1","0","0","0","0","0","0","20160509","20160606"
"27","0","1","0","0","0","0","0","20160510","20160607"
"28","0","1","0","0","0","0","0","20160510","20160607"
"29","0","0","1","0","0","0","0","20160511","20160608"
"3","1","0","0","0","0","0","0","20160509","20160606"
"30","0","0","1","0","0","0","0","20160511","20160608"
"31","0","0","0","0","1","0","0","20160513","20160610"
"32","0","0","0","0","1","0","0","20160513","20160610"
"33","0","1","0","0","0","0","0","20160510","20160607"
"34","0","1","0","0","0","0","0","20160510","20160607"
"35","0","0","1","0","0","0","0","20160511","20160608"
"36","0","0","1","0","0","0","0","20160511","20160608"
"37","0","0","1","0","0","0","0","20160511","20160608"
"38","0","0","1","0","0","0","0","20160511","20160608"
"39","0","0","0","0","0","1","0","20160514","20160611"
"4","0","1","0","0","0","0","0","20160510","20160607"
"40","0","0","0","0","0","1","0","20160514","20160611"
"41","0","0","0","0","1","0","0","20160513","20160513"
"42","0","0","0","0","1","0","0","20160513","20160513"
"43","0","0","0","0","1","0","0","20160520","20160610"
"44","0","0","0","0","1","0","0","20160520","20160610"
"45","0","0","0","0","1","0","0","20160513","20160610"
"46","0","0","0","0","1","0","0","20160513","20160610"
"5","0","0","1","0","0","0","0","20160511","20160608"
"6","0","0","0","0","0","1","0","20160514","20160611"
"7","0","0","0","0","1","0","0","20160513","20160610"
"8","0","0","0","0","0","0","1","20160522","20160612"
"9","0","0","0","0","0","0","1","20160516","20160516"
